order_id,customer_id,order_date,payment_method,order_status,total_amount
ORD000079,CUST00179,2025-06-28,Debit Card,Delivered,543448.85
ORD000080,CUST00213,2025-08-15,Credit Card,Delivered,4599.0
ORD000081,CUST00359,2025-11-09,Debit Card,Delivered,168216.2
ORD000082,CUST00593,2025-03-31,Debit Card,Shipped,280790.2
ORD000083,CUST00854,2024-12-15,Credit Card,Delivered,2464.0
ORD000084,CUST00950,2025-05-13,Credit Card,Delivered,57578.7
ORD000085,CUST00809,2026-01-28,Cash on Delivery,Returned,102368.0
ORD000086,CUST00056,2025-10-02,UPI,Cancelled,19465.0
ORD000087,CUST00123,2025-08-28,Debit Card,Delivered,485663.8
ORD000088,CUST00553,2026-03-27,UPI,Returned,496162.5
ORD000089,CUST00661,2025-08-26,Cash on Delivery,Delivered,345614.7
ORD000090,CUST00577,2024-09-28,UPI,Delivered,165173.95
ORD000091,CUST00221,2025-04-29,UPI,Delivered,241586.3
ORD000092,CUST00295,2025-02-20,UPI,Shipped,333964.3
ORD000093,CUST00608,2026-03-03,UPI,Delivered,31445.15
ORD000094,CUST00063,2025-10-04,Cash on Delivery,Delivered,342855.7
ORD000095,CUST00584,2025-08-26,Wallet,Processing,430555.55
ORD000096,CUST00369,2024-07-29,Debit Card,Shipped,394366.2
ORD000097,CUST00234,2025-01-30,Cash on Delivery,Delivered,181950.8
ORD000098,CUST00914,2025-02-18,UPI,Shipped,288069.0
ORD000099,CUST00374,2025-03-10,UPI,Delivered,36372.75
ORD000100,CUST00372,2024-07-15,UPI,Delivered,280692.0
ORD000101,CUST00746,2026-03-15,Net Banking,Delivered,350915.8
ORD000102,CUST00931,2025-10-20,UPI,Delivered,473814.4
ORD000103,CUST00793,2024-11-14,Debit Card,Delivered,449512.8
ORD000104,CUST00123,2025-12-04,Net Banking,Delivered,502390.45
ORD000105,CUST00169,2025-11-17,UPI,Delivered,603851.85
ORD000106,CUST00843,2025-08-11,Cash on Delivery,Delivered,139763.4
ORD000107,CUST00202,2026-03-26,Credit Card,Delivered,152206.4
ORD000108,CUST00975,2025-05-10,Net Banking,Shipped,369446.15
ORD000109,CUST00526,2026-05-19,UPI,Delivered,178330.2
ORD000110,CUST00858,2024-07-15,UPI,Delivered,263361.1
ORD000111,CUST00692,2025-03-18,Cash on Delivery,Processing,970393.5
ORD000112,CUST00962,2024-11-17,Wallet,Delivered,707901.8
ORD000113,CUST00572,2024-10-07,Cash on Delivery,Shipped,160383.2
ORD000114,CUST00242,2026-04-18,Credit Card,Delivered,193110.3
ORD000115,CUST00519,2026-05-28,Net Banking,Delivered,221353.6
ORD000116,CUST00579,2024-08-01,Debit Card,Delivered,617656.6
ORD000117,CUST00647,2024-11-12,UPI,Shipped,9356.4
ORD000118,CUST00499,2025-05-13,Credit Card,Delivered,327931.7
ORD000119,CUST00027,2024-10-24,UPI,Delivered,411129.9
ORD000120,CUST00890,2025-06-29,UPI,Delivered,189488.7
ORD000121,CUST00018,2024-08-07,Debit Card,Delivered,445221.75
ORD000122,CUST00665,2025-05-12,UPI,Delivered,106188.0
ORD000123,CUST00794,2025-05-14,UPI,Delivered,268809.6
ORD000124,CUST00429,2025-02-18,Credit Card,Delivered,265065.0
ORD000125,CUST00319,2025-09-10,Cash on Delivery,Delivered,725358.8
ORD000126,CUST00931,2025-10-18,Debit Card,Delivered,424036.65
ORD000127,CUST00225,2026-06-08,Debit Card,Delivered,7593.6
ORD000128,CUST00027,2024-08-24,Debit Card,Delivered,30832.2
ORD000129,CUST00826,2024-07-22,UPI,Delivered,32611.6
ORD000130,CUST00101,2026-04-21,UPI,Returned,114303.6
ORD000131,CUST00444,2025-09-03,UPI,Delivered,481982.05
ORD000132,CUST00435,2024-11-24,Credit Card,Delivered,763740.0
ORD000133,CUST00172,2025-02-03,UPI,Processing,252336.15
ORD000134,CUST00099,2025-08-27,Debit Card,Delivered,160829.75
ORD000135,CUST00511,2026-04-16,Credit Card,Delivered,182256.0
ORD000136,CUST00547,2025-01-20,Cash on Delivery,Delivered,366966.6
ORD000137,CUST00887,2025-04-12,Net Banking,Delivered,311694.4
ORD000138,CUST00104,2025-08-15,Cash on Delivery,Delivered,266052.0
ORD000139,CUST00809,2024-09-27,Debit Card,Delivered,300928.3
ORD000140,CUST00206,2026-02-26,Credit Card,Delivered,205466.3
ORD000141,CUST00293,2024-12-26,UPI,Returned,374391.2
ORD000142,CUST00241,2024-07-08,UPI,Processing,492352.5
ORD000143,CUST00560,2025-09-13,Debit Card,Delivered,232330.0
ORD000144,CUST00526,2026-05-20,UPI,Cancelled,141124.8
ORD000145,CUST00631,2025-08-31,Cash on Delivery,Shipped,317190.6
ORD000146,CUST00529,2025-09-26,UPI,Delivered,165150.8
ORD000147,CUST00560,2025-09-12,Debit Card,Cancelled,93340.0
ORD000148,CUST00826,2024-12-02,UPI,Delivered,532395.45
ORD000149,CUST00504,2026-05-18,Wallet,Delivered,201756.1
ORD000150,CUST00633,2025-12-07,UPI,Shipped,43678.95
ORD000151,CUST00626,2026-03-24,Credit Card,Delivered,213724.8
ORD000152,CUST00852,2024-08-08,Net Banking,Delivered,128782.0
ORD000153,CUST00849,2025-03-21,Net Banking,Delivered,269036.4
ORD000154,CUST00376,2025-07-17,Credit Card,Delivered,265318.55
ORD000155,CUST00952,2025-03-01,Wallet,Returned,35449.2
ORD000156,CUST00577,2025-12-07,Credit Card,Delivered,136023.0
ORD000157,CUST00769,2026-04-01,UPI,Shipped,303775.4
ORD000158,CUST00322,2025-09-01,UPI,Delivered,123576.1
ORD000159,CUST00889,2025-09-09,Net Banking,Delivered,87587.4
ORD000160,CUST00859,2025-01-08,UPI,Delivered,344325.0
ORD000161,CUST00626,2025-10-31,UPI,Delivered,263169.0
ORD000162,CUST00629,2025-10-13,UPI,Delivered,228453.0
ORD000163,CUST00619,2026-01-31,Credit Card,Delivered,118844.0
ORD000164,CUST00430,2025-07-10,Credit Card,Delivered,432400.0
ORD000165,CUST00599,2025-01-27,UPI,Delivered,144020.0
ORD000166,CUST00139,2026-04-16,Debit Card,Processing,425952.25
ORD000167,CUST00940,2026-05-02,Debit Card,Delivered,337908.5
ORD000168,CUST00396,2026-02-05,Debit Card,Delivered,363405.4
ORD000169,CUST00874,2024-09-28,Wallet,Shipped,701445.4
ORD000170,CUST00859,2025-09-10,Credit Card,Delivered,59920.0
ORD000171,CUST00502,2025-04-04,Debit Card,Delivered,538350.2
ORD000172,CUST00595,2025-05-27,Cash on Delivery,Delivered,255264.0
ORD000173,CUST00143,2026-05-11,UPI,Delivered,178370.2
ORD000174,CUST00429,2025-01-07,Debit Card,Delivered,4086.9
ORD000175,CUST00224,2024-07-19,Debit Card,Delivered,936564.75
ORD000176,CUST00479,2024-11-01,Credit Card,Delivered,322862.4
ORD000177,CUST00640,2026-06-26,Credit Card,Delivered,472402.95
ORD000178,CUST00053,2025-06-20,Net Banking,Delivered,151946.0
ORD000179,CUST00531,2026-03-12,Debit Card,Shipped,276284.75
ORD000180,CUST00650,2025-04-21,Credit Card,Shipped,670141.0
ORD000181,CUST00353,2026-06-18,Credit Card,Shipped,245321.6
ORD000182,CUST00957,2024-07-17,Credit Card,Shipped,2500.4
ORD000183,CUST00669,2024-08-13,UPI,Delivered,5852.0
ORD000184,CUST00534,2024-07-08,UPI,Delivered,289396.15
ORD000185,CUST00363,2024-12-20,UPI,Cancelled,114847.4
ORD000186,CUST00581,2024-08-12,Debit Card,Delivered,128664.0
ORD000187,CUST00093,2025-12-17,UPI,Delivered,330072.0
ORD000188,CUST00501,2025-04-01,Credit Card,Delivered,237801.15
ORD000189,CUST00407,2026-01-18,UPI,Delivered,79090.8
ORD000190,CUST00814,2025-05-07,UPI,Cancelled,41267.2
ORD000191,CUST00270,2026-02-18,Credit Card,Delivered,480299.9
ORD000192,CUST00424,2025-12-17,Credit Card,Processing,101957.15
ORD000193,CUST00410,2025-05-17,Cash on Delivery,Delivered,323778.55
ORD000194,CUST00559,2024-09-25,Cash on Delivery,Delivered,459290.0
ORD000195,CUST00928,2025-10-10,UPI,Delivered,405429.65
ORD000196,CUST00901,2026-05-29,UPI,Delivered,260653.7
ORD000197,CUST00672,2026-05-14,UPI,Delivered,118430.8
ORD000198,CUST00725,2026-03-04,Net Banking,Delivered,344195.25
ORD000199,CUST00648,2025-10-14,Credit Card,Delivered,185791.6
ORD000200,CUST00757,2025-04-10,UPI,Delivered,879424.4
ORD000201,CUST00185,2025-11-21,Credit Card,Delivered,273670.4
ORD000202,CUST00857,2024-12-12,Net Banking,Delivered,289762.2
ORD000203,CUST00372,2024-07-21,Debit Card,Delivered,675253.1
ORD000204,CUST00092,2026-06-15,Debit Card,Delivered,536962.9
ORD000205,CUST00887,2025-04-11,Debit Card,Delivered,166286.1
ORD000206,CUST00021,2025-05-04,UPI,Delivered,117072.0
ORD000207,CUST00325,2025-02-20,Cash on Delivery,Delivered,379904.25
ORD000208,CUST00948,2024-09-21,UPI,Delivered,185152.0
ORD000209,CUST00295,2025-09-14,Debit Card,Delivered,469723.9
ORD000210,CUST00826,2025-01-26,Debit Card,Cancelled,459829.3
ORD000211,CUST00829,2026-02-23,UPI,Delivered,502792.15
ORD000212,CUST00485,2025-09-20,UPI,Delivered,640935.0
ORD000213,CUST00725,2024-12-03,UPI,Delivered,477083.55
ORD000214,CUST00967,2026-04-10,UPI,Processing,102294.0
ORD000215,CUST00756,2025-06-13,Credit Card,Shipped,222626.7
ORD000216,CUST00740,2025-09-01,UPI,Delivered,545842.1
ORD000217,CUST00015,2025-12-06,UPI,Delivered,318244.8
ORD000218,CUST00411,2026-04-25,Credit Card,Delivered,202178.4
ORD000219,CUST00883,2026-06-04,Debit Card,Delivered,34438.5
ORD000220,CUST00262,2025-02-21,UPI,Delivered,37292.5
ORD000221,CUST00355,2025-06-08,UPI,Delivered,443527.1
ORD000222,CUST00978,2025-06-21,Debit Card,Delivered,148341.0
ORD000223,CUST00378,2025-09-23,Credit Card,Delivered,54828.0
ORD000224,CUST00633,2024-08-17,UPI,Returned,133616.9
ORD000225,CUST00569,2025-08-02,UPI,Delivered,376316.8
ORD000226,CUST00369,2026-02-19,Cash on Delivery,Delivered,20021.45
ORD000227,CUST00080,2025-07-15,Net Banking,Delivered,169779.95
ORD000228,CUST00165,2026-06-17,UPI,Delivered,173443.25
ORD000229,CUST00419,2026-01-19,Credit Card,Delivered,250922.5
ORD000230,CUST00935,2026-06-16,Credit Card,Delivered,221311.7
ORD000231,CUST00749,2024-07-23,Credit Card,Delivered,80870.3
ORD000232,CUST00430,2025-11-27,UPI,Delivered,117460.9
ORD000233,CUST00255,2024-10-07,Debit Card,Delivered,277325.2
ORD000234,CUST00461,2025-08-24,Credit Card,Delivered,493089.0
ORD000235,CUST00793,2025-07-09,UPI,Delivered,313552.4
ORD000236,CUST00830,2024-11-10,Credit Card,Delivered,291608.8
ORD000237,CUST00282,2025-05-25,UPI,Delivered,414021.0
ORD000238,CUST00617,2026-05-21,Wallet,Delivered,382280.8
ORD000239,CUST00558,2025-11-19,Cash on Delivery,Delivered,189563.05
ORD000240,CUST00981,2026-03-24,Debit Card,Delivered,193478.15
ORD000241,CUST00334,2024-08-04,Credit Card,Delivered,171604.1
ORD000242,CUST00762,2024-08-01,Credit Card,Delivered,118398.0
ORD000243,CUST00883,2024-10-03,UPI,Shipped,191502.1
ORD000244,CUST00264,2025-11-10,Debit Card,Delivered,315517.6
ORD000245,CUST00979,2026-02-10,Net Banking,Delivered,135513.3
ORD000246,CUST00107,2026-07-09,Debit Card,Delivered,483100.3
ORD000247,CUST00471,2025-06-05,UPI,Delivered,170642.8
ORD000248,CUST00519,2025-04-23,UPI,Cancelled,139420.8
ORD000249,CUST00826,2026-05-29,Debit Card,Delivered,89008.9
ORD000250,CUST00384,2025-12-24,UPI,Delivered,499875.25
ORD000251,CUST00750,2024-10-11,UPI,Delivered,506482.2
ORD000252,CUST00839,2024-08-13,Net Banking,Delivered,654407.6
ORD000253,CUST00987,2025-01-03,Wallet,Delivered,175009.6
ORD000254,CUST00480,2025-02-03,Credit Card,Delivered,68925.6
ORD000255,CUST01000,2026-06-21,Credit Card,Delivered,32986.05
ORD000256,CUST00188,2025-02-22,Cash on Delivery,Delivered,153144.0
ORD000257,CUST00097,2025-02-28,Wallet,Delivered,670589.1
ORD000258,CUST00115,2025-01-19,Wallet,Delivered,154586.8
ORD000259,CUST00950,2024-10-18,Credit Card,Delivered,493610.8
ORD000260,CUST00087,2025-10-18,Debit Card,Delivered,638201.8
ORD000261,CUST00140,2025-10-13,Credit Card,Delivered,305495.0
ORD000262,CUST00529,2026-07-06,UPI,Delivered,428084.35
ORD000263,CUST00974,2024-08-10,UPI,Delivered,163698.75
ORD000264,CUST00641,2025-05-09,UPI,Delivered,83948.6
ORD000265,CUST00314,2025-07-18,Wallet,Delivered,67992.3
ORD000266,CUST00352,2025-02-06,Credit Card,Delivered,169225.7
ORD000267,CUST00471,2025-12-06,Credit Card,Cancelled,480551.7
ORD000268,CUST00778,2025-03-31,Debit Card,Delivered,2851.0
ORD000269,CUST00034,2025-05-31,Cash on Delivery,Delivered,290880.3
ORD000270,CUST00426,2025-09-14,UPI,Delivered,269949.8
ORD000271,CUST00671,2026-06-08,Credit Card,Cancelled,112915.5
ORD000272,CUST00491,2026-06-29,Credit Card,Shipped,94846.0
ORD000273,CUST00167,2025-05-15,Net Banking,Returned,404044.35
ORD000274,CUST00316,2026-04-04,UPI,Delivered,431946.1
ORD000275,CUST00150,2026-06-19,UPI,Delivered,308908.3
ORD000276,CUST00762,2025-04-24,Wallet,Delivered,575394.8
ORD000277,CUST00435,2024-11-13,Debit Card,Delivered,457485.3
ORD000278,CUST00363,2025-02-26,Cash on Delivery,Delivered,382308.4
ORD000279,CUST00958,2026-07-08,Net Banking,Delivered,150411.75
ORD000280,CUST00130,2024-08-06,UPI,Delivered,55438.2
ORD000281,CUST00490,2025-04-27,UPI,Delivered,44064.0
ORD000282,CUST00329,2024-10-26,Credit Card,Delivered,206975.8
ORD000283,CUST00617,2026-03-11,UPI,Shipped,41228.4
ORD000284,CUST00373,2026-03-04,Wallet,Delivered,421435.25
ORD000285,CUST00276,2024-10-13,UPI,Delivered,128898.0
ORD000286,CUST00653,2024-10-06,Debit Card,Processing,11578.0
ORD000287,CUST00680,2025-03-16,UPI,Delivered,549118.3
ORD000288,CUST00186,2026-06-14,Debit Card,Delivered,413314.0
ORD000289,CUST00431,2025-04-01,Debit Card,Delivered,289242.65
ORD000290,CUST00828,2025-10-25,Credit Card,Processing,520803.7
ORD000291,CUST00900,2025-10-14,UPI,Delivered,349704.0
ORD000292,CUST00848,2025-06-11,Debit Card,Processing,90540.0
ORD000293,CUST00013,2026-05-16,Wallet,Processing,218171.3
ORD000294,CUST00787,2025-07-14,UPI,Delivered,394639.4
ORD000295,CUST00031,2024-10-22,Credit Card,Delivered,286670.0
ORD000296,CUST00955,2025-03-09,UPI,Cancelled,679703.85
ORD000297,CUST00636,2026-07-02,UPI,Delivered,366370.0
ORD000298,CUST00215,2025-06-03,UPI,Returned,135986.4
ORD000299,CUST00418,2026-02-24,UPI,Delivered,224092.7
ORD000300,CUST00582,2024-11-23,Net Banking,Delivered,170061.4
ORD000301,CUST00188,2024-11-28,Credit Card,Delivered,143149.2
ORD000302,CUST00514,2026-07-07,Credit Card,Delivered,400492.6
ORD000303,CUST00589,2026-05-03,Cash on Delivery,Delivered,703.2
ORD000304,CUST00018,2024-11-25,Credit Card,Delivered,853468.2
ORD000305,CUST00232,2024-10-13,UPI,Delivered,648368.1
ORD000306,CUST00827,2025-10-24,Debit Card,Processing,241225.0
ORD000307,CUST00608,2024-07-14,Debit Card,Delivered,519881.75
ORD000308,CUST00240,2025-03-22,UPI,Delivered,229549.25
ORD000309,CUST00177,2025-01-07,Wallet,Delivered,313082.55
ORD000310,CUST00644,2024-12-22,Net Banking,Delivered,111763.8
ORD000311,CUST00748,2026-07-01,UPI,Delivered,147883.4
ORD000312,CUST00486,2025-11-13,Wallet,Delivered,220023.65
ORD000313,CUST00002,2025-11-22,Cash on Delivery,Delivered,438343.8
ORD000314,CUST00620,2025-12-02,Debit Card,Delivered,636993.0
ORD000315,CUST00013,2025-02-22,Credit Card,Delivered,15744.0
ORD000316,CUST00830,2025-06-14,Net Banking,Delivered,617163.0
ORD000317,CUST00592,2026-03-16,Credit Card,Delivered,517946.35
ORD000318,CUST00334,2024-07-30,UPI,Delivered,407929.0
ORD000319,CUST00661,2025-01-24,Cash on Delivery,Delivered,338911.5
ORD000320,CUST00561,2025-07-30,Credit Card,Delivered,126236.4
ORD000321,CUST00293,2025-03-03,Cash on Delivery,Delivered,211315.2
ORD000322,CUST00591,2025-07-16,Credit Card,Delivered,204628.8
ORD000323,CUST00261,2026-06-07,UPI,Delivered,421200.35
ORD000324,CUST00179,2025-05-05,Credit Card,Delivered,475774.1
ORD000325,CUST00249,2025-02-28,Net Banking,Delivered,376752.4
ORD000326,CUST00726,2025-09-01,Cash on Delivery,Shipped,70836.2
ORD000327,CUST00998,2025-02-17,Cash on Delivery,Processing,339617.8
ORD000328,CUST00560,2025-12-21,Credit Card,Delivered,164240.0
ORD000329,CUST00898,2026-03-10,UPI,Delivered,189642.65
ORD000330,CUST00726,2025-03-17,UPI,Delivered,56081.3
ORD000331,CUST00818,2025-04-23,UPI,Delivered,608137.4
ORD000332,CUST00071,2025-10-14,Debit Card,Delivered,447703.0
ORD000333,CUST00239,2024-12-28,UPI,Delivered,394255.5
ORD000334,CUST00367,2025-10-17,Cash on Delivery,Delivered,26228.2
ORD000335,CUST00859,2025-06-12,Net Banking,Delivered,285957.0
ORD000336,CUST00752,2025-03-18,Credit Card,Delivered,46760.9
ORD000337,CUST00013,2024-11-17,Cash on Delivery,Delivered,661404.95
ORD000338,CUST00010,2024-09-20,UPI,Delivered,41992.25
ORD000339,CUST00643,2026-04-27,Cash on Delivery,Delivered,11079.75
ORD000340,CUST00285,2026-04-09,Credit Card,Delivered,254169.0
ORD000341,CUST00587,2026-04-04,UPI,Delivered,15949.2
ORD000342,CUST00691,2025-01-04,UPI,Delivered,429345.85
ORD000343,CUST00588,2025-08-27,Debit Card,Delivered,92630.45
ORD000344,CUST00182,2024-12-29,Net Banking,Delivered,387104.6
ORD000345,CUST00543,2025-03-07,Credit Card,Delivered,650423.4
ORD000346,CUST00927,2024-07-12,Credit Card,Delivered,321084.0
ORD000347,CUST00625,2025-07-22,UPI,Delivered,149318.4
ORD000348,CUST00176,2026-04-14,UPI,Delivered,245168.4
ORD000349,CUST00082,2024-09-09,UPI,Delivered,182651.6
ORD000350,CUST00337,2024-10-22,Credit Card,Delivered,564977.6
ORD000351,CUST00983,2025-02-16,Wallet,Delivered,341966.0
ORD000352,CUST00875,2025-03-23,Net Banking,Delivered,256125.85
ORD000353,CUST00520,2026-01-24,UPI,Shipped,167466.1
ORD000354,CUST00205,2025-04-04,UPI,Delivered,698861.4
ORD000355,CUST00891,2024-12-24,UPI,Delivered,307856.65
ORD000356,CUST00998,2024-09-24,UPI,Delivered,451363.4
ORD000357,CUST00550,2024-11-14,UPI,Delivered,70243.0
ORD000358,CUST00341,2026-01-03,UPI,Delivered,104279.4
ORD000359,CUST00090,2026-04-12,Net Banking,Delivered,99922.6
ORD000360,CUST00002,2026-05-08,UPI,Delivered,229024.0
ORD000361,CUST00486,2026-06-06,Debit Card,Shipped,100634.0
ORD000362,CUST00841,2025-10-13,Debit Card,Returned,679296.6
ORD000363,CUST00269,2024-08-20,Credit Card,Delivered,616232.2
ORD000364,CUST00052,2024-07-10,UPI,Delivered,595705.25
ORD000365,CUST00429,2026-02-03,Cash on Delivery,Delivered,122209.1
ORD000366,CUST00234,2025-01-17,UPI,Delivered,347882.0
ORD000367,CUST00294,2025-05-10,Cash on Delivery,Delivered,386669.4
ORD000368,CUST00387,2024-10-15,UPI,Delivered,481088.8
ORD000369,CUST00053,2025-12-01,Net Banking,Delivered,218260.0
ORD000370,CUST00373,2024-11-28,UPI,Delivered,247832.0
ORD000371,CUST00267,2024-09-16,UPI,Shipped,144736.3
ORD000372,CUST00581,2026-06-30,UPI,Delivered,118565.4
ORD000373,CUST00318,2026-05-13,UPI,Delivered,70395.0
ORD000374,CUST00158,2024-08-29,Credit Card,Delivered,225876.6
ORD000375,CUST00438,2026-06-29,Credit Card,Cancelled,122141.6
ORD000376,CUST00549,2026-01-16,UPI,Delivered,195789.35
ORD000377,CUST00184,2026-03-05,Debit Card,Delivered,5346.0
ORD000378,CUST00949,2025-07-09,Net Banking,Delivered,250368.85
ORD000379,CUST00510,2025-01-07,UPI,Delivered,34508.1
ORD000380,CUST00713,2026-06-25,Credit Card,Returned,111198.0
ORD000381,CUST00471,2026-03-04,UPI,Delivered,309228.7
ORD000382,CUST00122,2025-11-17,UPI,Delivered,280492.15
ORD000383,CUST00212,2024-10-27,UPI,Delivered,3919.7
ORD000384,CUST00343,2025-11-11,Debit Card,Delivered,43116.2
ORD000385,CUST00070,2025-07-02,Credit Card,Delivered,428648.6
ORD000386,CUST00795,2025-07-27,Debit Card,Processing,34236.0
ORD000387,CUST00474,2024-11-06,Debit Card,Delivered,334105.2
ORD000388,CUST00681,2025-06-03,Debit Card,Delivered,263085.3
ORD000389,CUST00146,2026-02-27,UPI,Delivered,640165.1
ORD000390,CUST00104,2025-02-03,Credit Card,Delivered,93281.4
ORD000391,CUST00013,2025-08-28,Debit Card,Delivered,207686.0
ORD000392,CUST00761,2025-11-19,UPI,Shipped,223293.75
ORD000393,CUST00951,2025-09-04,Debit Card,Delivered,285995.0
ORD000394,CUST00379,2026-01-27,UPI,Delivered,695645.05
ORD000395,CUST00149,2025-01-15,Debit Card,Delivered,150512.2
ORD000396,CUST00113,2025-10-30,Cash on Delivery,Delivered,260752.8
ORD000397,CUST00197,2025-04-03,UPI,Delivered,365626.4
ORD000398,CUST00779,2025-09-12,UPI,Delivered,119391.6
ORD000399,CUST00174,2025-03-14,UPI,Delivered,510134.2
ORD000400,CUST00742,2026-01-12,UPI,Delivered,423369.0
ORD000401,CUST00646,2025-12-14,UPI,Cancelled,626917.2
ORD000402,CUST00467,2025-03-14,UPI,Delivered,337896.8
ORD000403,CUST00865,2025-09-11,Credit Card,Processing,660274.0
ORD000404,CUST00601,2025-03-17,UPI,Delivered,132739.0
ORD000405,CUST00433,2024-11-17,Debit Card,Delivered,261645.0
